2020，感谢有你。感谢你的关注，感谢你的贡献，感谢你的陪伴。最后一天简单介绍下如何搜索优雅 R 往期推文：进入公众号页面，点击右上角放大镜按钮🔍，愉快的搜索吧。   明年再会！,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487302&idx=1&sn=316c2a05969419d66fa0fb3b78f21ee7&chksm=90b72a2fa7c0a339feccb6997531100e905bf0c74c34dc7bcab61afb8f1b7c80ae5409c057fa#rd
预祝新年快乐咯～机器舞来一波,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487301&idx=1&sn=67087b479c9286eafe6f57c68652e8ce&chksm=90b72a2ca7c0a33ab25ea5fad64da784152f150848fb39303f92d7d5717ba6486a9f35d06031#rd
「R」tidyverse 中的公式函数,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487299&idx=1&sn=9885eb574eade2a2028be62322618aaf&chksm=90b72a2aa7c0a33c84796e366aae894dc8ad906183b85aca0ba467fcb37372e129c31b6a3c12#rd
「Workshop」第二十九期 深度学习入门,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487294&idx=1&sn=758a5662274acec97a705801f13c6d86&chksm=90b72a57a7c0a341f0e87a6e5362a85200cd04ef74dddf29a8b6bc209dcafa3c06b0c4158184#rd
欢迎👏参与,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487197&idx=1&sn=c734c09bea10b2f7b830df9b2f5a1d36&chksm=90b72bb4a7c0a2a2a7739219298eb4284bbc7db44f15d30e0ca48d3f84e4361511139eb5f1d4#rd
「R」Hiplot Xena 镜像与官方网站下载速度测评,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487196&idx=1&sn=981a975088d27c1632ee834a56917010&chksm=90b72bb5a7c0a2a36daed9b18b3e91d90d826a1de0e45521807aff67528ada639be5811f0406#rd
大家平安夜快乐，知识星球送波福利,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487196&idx=2&sn=ec0182c026a34c51594f057291538f94&chksm=90b72bb5a7c0a2a398a70e17b97b92d11d0677ce5ce43d895c808f7610ff29ad26b5725c59b0#rd
R语言从入门到精通：Day10-R语言统计入门代码大全,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487196&idx=3&sn=ad47768d031ba1eadf423509df506fed&chksm=90b72bb5a7c0a2a37c27b09178e9fc25682b583fdaf698a92f44cbf3c3ff89eecb06b3642902#rd
iBiology |除了B站，这还有个专业的生科科普网站,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487196&idx=4&sn=be818861368b8d84af156f38247a1549&chksm=90b72bb5a7c0a2a35cf5eee9056a0d4cf5b68057c601b0dfce2b288a67ea22ea2bdb97af3023#rd
即将突破FFPE限制，空间转录组未来之路已开启？ | 单细胞专题,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487196&idx=5&sn=38284f1ac20715e34eb532c042873444&chksm=90b72bb5a7c0a2a31cd86153d7d40ddd57264a33ca1c7a39ca22b6e30177fe41032a67b97bd5#rd
cola，一个做consensus clustering的R包,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487180&idx=1&sn=2eb8ce84234b9addb91f132661979c52&chksm=90b72ba5a7c0a2b351b8cd86299dddb0a384bbf3257c647795c57fb6a5d1b155423ec72f0b9b#rd
「R」解锁 GitHub 包快速安装新方式,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487180&idx=2&sn=a6096c1754cb848c1a678667e25f09e3&chksm=90b72ba5a7c0a2b320c2cf5e5ff2597de637c4822257f051888e38be3dde8c4b88a84f6e1333#rd
听说你装不了github的包？,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487180&idx=3&sn=1d5f8ce089cd0a9f652342c87c932b21&chksm=90b72ba5a7c0a2b35f3c9836586dad7c2d4be3b5d00bb217b20a98d5c595685dca79bc6961d3#rd
用户稿件 | 好家伙，到底谁在用TBtools?,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487180&idx=4&sn=c7d7ce042ed7cadc6d133188e7be3b16&chksm=90b72ba5a7c0a2b323e13649aad244813a4e2238323b2689824cc04f014675e53f8c84652841#rd
感慨 Apple 的强大,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487180&idx=5&sn=225d7d1ce905ddef3f0278ea828307b5&chksm=90b72ba5a7c0a2b3b4e46ea1e21aecb8f77a8a5bb4552c6f8673d92648aebe08b87bba111070#rd
「R」使用 blogdown 搭建个人博客,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487176&idx=1&sn=74c66b7d90d69bf41bddd7f1ae495fbe&chksm=90b72ba1a7c0a2b7793b9345ef09efeaff17887d1a2e26ce48f402c00c9d9d8a0443c3a0e956#rd
直播第二弹：（今晚八点半）使用blogdown搭建个人博客,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487162&idx=1&sn=dc70b4c32f4ac69b63944b5484930d60&chksm=90b72bd3a7c0a2c58e4f1e0fa844fa5d87ab284b7cdc029d844a600da66cf7af6aed0c176cfd#rd
直播第一弹：R 和 RStudio 在 Windows 下的安装和配置,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247487156&idx=1&sn=6c86a1eea94578919ccba4da15eec275&chksm=90b72bdda7c0a2cb76c8eb3a6a25280b043a2a7ec81fe056c4d426320810f9d948033416078a#rd
绘制基因组水平的热图,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486961&idx=1&sn=0e656e001c9d7023d3879d342b6be603&chksm=90b72898a7c0a18e18ea6b7624ca7f3d4fefc5f34628e44e8598eb0dd7eef4d48a51b5fc93e4#rd
从pheatmap无缝迁移至ComplexHeatmap,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486961&idx=2&sn=e55841d1685e89c25f7c607f388d8a3e&chksm=90b72898a7c0a18e02f658494715ca35ed3976636c92cd19fc56828646303a1cb3f15b7c9cf8#rd
circlize中有趣的坐标系转换,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486961&idx=3&sn=95ae5f8b5f9dfe037a0b272967e3d3f3&chksm=90b72898a7c0a18e2b9373bbd612891de7584def9ed42b493400854fce22e833c8a2f2da122d#rd
「Workshop」第二十六期 随机森林,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486959&idx=1&sn=f82ae784734a24363891b49e61674e05&chksm=90b72886a7c0a190e3ed3276d2ce6ce88e65d6c450ff8e084d25fe4d9a6d500fb41084e2b540#rd
「R」解锁 GitHub 包快速安装新方式,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486878&idx=1&sn=c9d70a8bd16fcc70214e85164583e60d&chksm=90b728f7a7c0a1e19be586646334a467d90ebf22eac2d3180d225aa910170c063f426bf0aadc#rd
「R」无影腿快不过组合拳？均值计算哪家强,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486867&idx=1&sn=c45acadc507b69451a2fc4917b001d2c&chksm=90b728faa7c0a1ec6994729d30c51d568d7ffd0955564eb22e9eaa9a79f93b35f05632656726#rd
TCGA数据入驻中国？UCSC Xena镜像站搭建记实录,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486867&idx=2&sn=bd119725606b497f4442a444d46fc018&chksm=90b728faa7c0a1ec4e43c769a9aca3337fc21985f59e326f934474cc603c0feac1e587eaf881#rd
Bookdown优质免费书籍分享,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486867&idx=3&sn=77f339416441969915d69b637a4e0402&chksm=90b728faa7c0a1ec38bf4f3939186382a775fe35c8e73000d44c700a97a67d3926b22fc1b54d#rd
iGMDR：比GDSC和CCLE全的肿瘤药物数据库,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486867&idx=4&sn=6d3310e141c41937237fe4c4c9b9e140&chksm=90b728faa7c0a1ec9fd5bd10d33d088343fb6237ec354b683c1a128b3164648889872f986400#rd
欢迎👏感兴趣的读者研究下，发表你的测试和见解到公众号（无需加入星球，公众号菜单有联系方式）。,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486855&idx=1&sn=73091e07d662ca2faf092431d284c037&chksm=90b728eea7c0a1f8e911c0251b86181d100352877834a0c9b4b701852bf2f20190a5b7ed3d38#rd
好的项目管理高的处理和重复效率，推荐阅读下。https://bioinformaticsworkbook.org/projectManagement/projectManagement_index,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486748&idx=1&sn=5a56918f33a0c98798e1cab567908166&chksm=90b72875a7c0a16380bdcf39f31c021e29269f52ecb0282ec13826e0ae07a5bf000a3929d358#rd
RStudio 预览版：可视化 RMarkdown 编辑,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486747&idx=1&sn=4db07ebcad1bd49ffa5f7c94b965ec1d&chksm=90b72872a7c0a164db6c89ebb3b967c184f6906fbb02df5539b53cd064f95de9cb9183b76226#rd
bs4Dash | Shiny 仪表盘框架,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486747&idx=2&sn=25806496ad7fdb2317c7db649b163a55&chksm=90b72872a7c0a1646bea9c9ebcf36bb8be9d92d22a400583cc2dfd85eddbb31ed09952ac2762#rd
R tips：调整ggplot2的坐标轴或legend的label长度,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486747&idx=3&sn=90b5a2d48081aee2b077dad3d35f7fc5&chksm=90b72872a7c0a164b4b3d91270a2ac3cca9995f647ae0539be7e9fa1413d1a35ab888814381c#rd
生信猿的Docker入门课1,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486747&idx=4&sn=ebb352612f2092b7fc001be8c386ac1e&chksm=90b72872a7c0a1641a502d3caa9073d8d582476ff2e8e94da7deb0e4973f9c49b97288ca9cc4#rd
双十一，当然购书,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486732&idx=1&sn=cbc385f2b146f9000b145b85690e2ffe&chksm=90b72865a7c0a1734931fe25d51005c703f0105f07b6be47f24ea84574049ee922a6aa77add8#rd
Linux 黑话解释：什么是 Linux 中的 GUI、CLI 和 TUI？ | Linux 中国,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486732&idx=2&sn=687c03e0d12bc6e5d5e841a9427601ce&chksm=90b72865a7c0a1736f48fc14e78fe210cb29f553596548fac657251d09a42ac25e15e4f0180a#rd
所有人！瞬间掌握-无限个列表的-‘韦恩图’（Venn）绘制！,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486732&idx=3&sn=f8afde9b08b072fb71b970677e730068&chksm=90b72865a7c0a17365772f90547cfa58687642f1dc02bdd9c34fcc9a19546a7811ccdffb4519#rd
原创 | Git提交错了不用慌，这三招帮你修改记录,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486732&idx=4&sn=352d805e5aff1bba9608b8b596ab563b&chksm=90b72865a7c0a1737f8fe5a76dacee055f6aba47df45c84434b7c68d2c598818b9b04b544c8a#rd
Shiny 基础,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486727&idx=1&sn=4822f33d6cee5e72d344a7f48c3d98f5&chksm=90b7286ea7c0a1789b11c5586bac799c242290a77eede280ad8c6c584452d2f347231e692bd4#rd
python入门-3,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486727&idx=2&sn=46f593ef09acbfa12c5db17d86150dd4&chksm=90b7286ea7c0a1782ea6c70bf065488f2fee9f0548c5cd68a97d8ee3861bc9bae5a1cac6787d#rd
StatQuest专辑汇总贴,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486626&idx=1&sn=f86e50f259a0f901e3de2b2db7bda9c6&chksm=90b729cba7c0a0dd41e1fdb8b6c6d034e6b4176d30e1471179da351e3a38e577aa9944f3a7d8#rd
同事用Python炒股赚了3W，我酸了！,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486626&idx=2&sn=7e98b737250125ef1fdd02218f551ad6&chksm=90b729cba7c0a0dda032006e971ad00b5b23934c612de9b152191042068fb99c96e18fb7842a#rd
想学R？想系统学习R？不妨从这里开始：https://github.com/rstudio/RStartHere,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486397&idx=1&sn=fbc19260abbf788a6e4563a808d89941&chksm=90b72ed4a7c0a7c2efe0d8402d00bf739de1e9a54981c5970ce34bf344ab740d4ffc4dd5152d#rd
Try GISTIC2 on hiplot https://hiplot.com.cn/advance/gistic2,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486396&idx=1&sn=4416797579d77509c053c52d57413a21&chksm=90b72ed5a7c0a7c31713c0a9ad5c8414ce9e7af21a4b35294661e291eed4ecb4999ee0827211#rd
「Workshop」第二十一期 SQL简介,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486395&idx=1&sn=5b906b47b631b45c74d2a56c0130ba5b&chksm=90b72ed2a7c0a7c48ef2c7ac06c6b380244cea3d27fe2c3252ba49d7af032a512ff0677e69c7#rd
跟着大牛学技术：记一次难忘的聚会，首次Hiplot技术研讨会,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486395&idx=2&sn=87f9244e68497885302fb317883206e9&chksm=90b72ed2a7c0a7c420f1c313e4d7c3649643272203c01e8e61e33a565e919a6c756931f7f0fd#rd
必知必会！计算机里一些基本又重要的概念,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486395&idx=3&sn=36d1aa20fe31d78707862d8282902080&chksm=90b72ed2a7c0a7c459492f7236c118881104937558e514f392776b9d444e3e3fea0a30df726b#rd
多组学文献精读15|全面理解肿瘤驱动基因和突变,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486395&idx=4&sn=38e53656678a4a9eca5062cdfc4bb6b3&chksm=90b72ed2a7c0a7c46bc882707fe2909a2126217fefaf4b3deecd405d877f2d8cf8bace74c50b#rd
27分的Nature子刊教你分析癌细胞基因组重排,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486395&idx=5&sn=4aa5d41d5121c9d7c63f5cab1747d919&chksm=90b72ed2a7c0a7c42ee0f34e4ee01dccf53f011967c132995d8775fd4c14bb394ad6a6ff818e#rd
免费的生信&科研交流会，线下亲接触、线上遥相望，大牛云集，等你来报名！,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486388&idx=1&sn=8699ed58247798cb6b13d9ea82018274&chksm=90b72edda7c0a7cb145b824777428094524d69c9d7e823d79dd252d6ca80f046fa0efa6e4b1a#rd
Hiplot首次线下会议，快来报名！,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486388&idx=2&sn=55c90fca04902b42d9377db295eb07c9&chksm=90b72edda7c0a7cb970b993a74810f6c3d7b26f0aae44ad1daee4c9ab11a9d66ddd2d214ce2f#rd
「R」sigminer 和 sigflow 介绍,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486386&idx=1&sn=da23ab7ba7992d454a642393dff3adfb&chksm=90b72edba7c0a7cdf9683293dcf52b95950e9728489d16237e7781668206cb869eefc4d8914a#rd
StatQuest专辑汇总贴,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486386&idx=2&sn=a56b1c13beca5c5fd055408fe9916f7e&chksm=90b72edba7c0a7cdc06b551e5648f68942c959cc91bbbd67f9eb26089e79c1a6fa9bb440add0#rd
总被审稿人提起的多重假设检验校正是什么？,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486386&idx=3&sn=40abc272966fba33f025b6a0c8c1bd52&chksm=90b72edba7c0a7cd830a717630d9eaf00d87f5a3d7a5a4b1c410aef0526ff4360b6b3a389fdc#rd
R语言可视化（二十七）：序列logo图绘制,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486386&idx=4&sn=1d2a5f4f5d0f8f17d49b96ad1039352d&chksm=90b72edba7c0a7cda51c77292cc6eff5f30a49e752428596d229d0af4920861eb0725ee1d6d3#rd
关于落实「熊言熊语」更好发展的通知,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486386&idx=5&sn=b865fe1cc97260ac976314b5c323349e&chksm=90b72edba7c0a7cda41ef1ecbb05ef63ea6c47a8eb9ba7e2bb43832936ec475dcfbc3127e251#rd
搜索Scihub，没问题

https://github.com/ShixiangWang/r-search-extension,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486194&idx=1&sn=9b0204199a7fb0765b9a81bb3b169203&chksm=90b72f9ba7c0a68d95ee298da2b80f1d870a64d12e88257a995ad2adb0c65eda50f852859c2c#rd
「R」一个函数获取 TCGA/CCLE 单基因分子数据,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486191&idx=1&sn=61225ad1aad4d4560da952d21e6b8ca0&chksm=90b72f86a7c0a690e88dbb262caf9179599f456937abe6d2f179cce4440f66239f35f6f0a02b#rd
「R」使用 ggplot2 进行曲线拟合,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486170&idx=1&sn=ce919d1db475a0e44b2865bcdf833237&chksm=90b72fb3a7c0a6a5965b39a2ede9c154c7468f76d768a6f52ede06b4248574f0d01cb927eb19#rd
主成分分析(PCA)原理精讲,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486170&idx=2&sn=bc5ac801a10a8b9f2f0fa7208354de50&chksm=90b72fb3a7c0a6a566f6857aa2c2e98c7789038ea4da0eccd3576b1ec937fc37c743a2d69d1d#rd
关于PCA的建议,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486170&idx=3&sn=4a544e8d23d44495b4cc0273ba053fb2&chksm=90b72fb3a7c0a6a5f0ab62ed965d292695336f5224d8ae950a4aa9df4375ce8206a4c5994b63#rd
小白学PyTorch | 14 tensorboardX可视化教程,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486170&idx=4&sn=28b8e9c12fa8d21891d6901ffa725970&chksm=90b72fb3a7c0a6a549a5d5164d9d116221ee0262afb31fa67bc4f46d3093c5435fb67fa65971#rd
经过开发团队的热烈讨论，为了加快 Hiplot 科研可视化平台的推广和应用，并尽早建立一个较大规模的用户社区，同时吸纳更多优秀小伙伴加入到 Hiplot 开发团队和成长计划中。特此决定：从即日起，Hiplot 网站将开放免费注册，不再需要邀请码，小伙伴们还在等什么！

注册网址：

https://hiplot.com.cn/signup

加入用户交流社区

Hiplot 可视化平台用户微信群，添加微信 baiou187 加入
Join the Hiplot Discord Server! Discord 用户社区
知乎社区进行交流（可以添加 Hiplot 话题标签）,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486148&idx=1&sn=81649becde50db6bf9faa9fa495db2e7&chksm=90b72fada7c0a6bbb77c43b4625ec3bb65eff5ed230637f6a5f9b79bdbc458b18911ac25a0a2#rd
「Workshop」第十八期 R包开发简介,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486147&idx=1&sn=2b37a566878885324efab54023071dde&chksm=90b72faaa7c0a6bc8d4bb35d339cc7fdcc5520894724f3a18ecb2ad7149425e45c300ec76afd#rd
Nat Genetics 观点 | 肿瘤生态与进化动力学模式——掌控肿瘤治疗的时机性,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486147&idx=2&sn=fb6cad4a1fb5255432c0725bd0e1cafe&chksm=90b72faaa7c0a6bc814064f7c74c444a84f16da830c8e85f6e9ebaf4a4987d6261e83458c78a#rd
什么是肿瘤的克隆进化（第一讲）？|肿瘤全外专题,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247486147&idx=3&sn=3b65822b30d58d5da8b9a2d1fccce642&chksm=90b72faaa7c0a6bc51ae9909182cb42ca10f6343ff4edaa9a978fc12c8c0c1a367c98c396720#rd
「R」ROC三剑客（一）使用R语言手撕ROC曲线,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485968&idx=1&sn=2763b43812ecca599a09ab1c90682df7&chksm=90b72f79a7c0a66f0b56aa955ce76f00c44a8e3b179b1720a8705797962fc261aa65cdd5d74f#rd
核酸检测如何高效筛查新冠肺炎丨回形针,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485968&idx=2&sn=bbe3b476321ce6efaa7452b143b332b9&chksm=90b72f79a7c0a66f608178c922ec51556bf032080489355f7e9c4a1462b558c86eb6c25b87f9#rd
收藏|免疫浸润分析方法大全,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485968&idx=3&sn=dd3dcacc63295c01dda453f8f3de6db3&chksm=90b72f79a7c0a66f5fa1aeb5e7beeb1e5bb853133ffc7eebebd32d531db94a673a5a99702b21#rd
刷新认知！基因表达，男女有别｜Science、Cell等发布15篇人类遗传调控新成果,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485968&idx=4&sn=7071ff03bf63aa31638145e4809200b8&chksm=90b72f79a7c0a66fe35690581275a2060b609cf37311897851a0b2bb1694aa79dc942e1aee0a#rd
【万字长文】从单细胞到空间转录组，生物医学进入新时代,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485968&idx=5&sn=4f33b47ba198272c1a8aaccf40fa6a69&chksm=90b72f79a7c0a66fee6fee267adc31c70b1fd8ee76c222f7fb7a530cbe76f67e6e654063f7ee#rd
12分的NC出新R包教你通路分析新花样！,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485968&idx=6&sn=20d10751de7d898055e87eb14a8eb24c&chksm=90b72f79a7c0a66f2368753902dadb54ecab9cb9728703b7cc70ada0b643254f30f7d3357d93#rd
「R」从 R 到 Rcpp,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485966&idx=1&sn=f4744bd2711d240cd052301d7cbc0e74&chksm=90b72f67a7c0a6714bf60f7eef62923ae6940c45a310150571f931aef3ceb715b6439fec0281#rd
可别再说base plot不能图形语法！,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485966&idx=2&sn=cef6f4c7957adb4e1927fb71152e9b96&chksm=90b72f67a7c0a671fa66b9096a931269238e3ee9371002926104e5cc72bad0e34c5b743f8f25#rd
ROC和AUC,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485966&idx=3&sn=7eaa1664ca39ea66c9899d74e6a9f01e&chksm=90b72f67a7c0a67137fdac1a55f01800600c7f4a122f7c11a3917f107c8e5ee09b012388ab73#rd
首个开源绘图平台-Hiplot：更新周报（2020/08/31-2020/09/06）,http://mp.weixin.qq.com/s?__biz=MzA5NjAyMzU1OA==&mid=2247485966&idx=4&sn=a02b53919a2ac1a0f28f63461feb9f3a&chksm=90b72f67a7c0a67174ea83713226e8e3f84fb0367da8411672dc90c466564da549c406f66464#rd
